"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",4,264150457,66037614,59.16260402930255
"hipEventSynchronize",16,50357229,3147326,11.278666079839155
"hipMemcpy",4,40291360,10072840,9.024181917209704
"hipLaunchKernel",13,37579162,2890704,8.416722448293978
"hipHostMalloc",1,16751519,16751519,3.7518901036250645
"hipStreamDestroy",4,16377745,4094436,3.668174771803971
"hipMemcpyAsync",16,15758515,984907,3.5294838919579257
"hipHostFree",1,3419359,3419359,0.7658445298507733
"hipEventRecord",32,1683066,52595,0.37696155609218623
"hipMalloc",1,43845,43845,0.009820101782616905
"hipFree",1,31942,31942,0.007154149643981051
"hipEventCreate",10,17785,1778,0.003983362075580834
"hipEventElapsedTime",16,10093,630,0.002260560777556219
"hipEventDestroy",10,4950,495,0.001108666981958118
"__hipPushCallConfiguration",13,2743,211,0.0006143582891941651
"__hipPopCallConfiguration",13,2364,181,0.000529472473807877
